Aditya Birla Capital Ltd, ADTB
Shipping Corporation Of India Ltd, SCI
Shoppers Stop Ltd, SHOP
Shree Cements Ltd, SHCM
Shree Renuka Sugars Ltd, SRES
Shriram Transport Finance Co Ltd, SRTR
Siemens Ltd, SIEM
Simplex Infrastructures Ltd, SINF
Sintex Industries Ltd, SNTX
SKF India Ltd, SKFB
Bharat Financial Inclusion Ltd, BHAF
Sobha Developers Ltd, SOBH
South Indian Bank Ltd, SIBK
SREI Infrastructure Finance Ltd, SREI
SRF Ltd, SRFL
State Trading Corporation of India Ltd, STCI
Steel Authority of India Ltd, SAIL
Sterlite Technologies Ltd, STTE
Strides Pharma Science Ltd, SRID
Sun Pharmaceutical Industries Ltd, SUN
Sun TV Network Ltd, SUTV
Sundram Fasteners Ltd, SNFS
Sunteck Realty Ltd, SUNT
Supreme Industries Ltd, SUPI
Suzlon Energy Ltd, SUZL
Syndicate Bank Ltd, SBNK
Tata Chemicals Ltd, TTCH
Tata Coffee Ltd, TACO
Tata Communications Limited, TATA
Tata Consultancy Services Ltd, TCS
Tata Elxsi Ltd, TTEX
Tata Global Beverages Ltd, TAGL
Tata Investment Corporation Ltd, TINV
Tata Motors Ltd, TAMO
Tata Power Co Ltd, TTPW
Tata Steel Ltd, TISC
Tech Mahindra Ltd, TEML
Thermax Ltd, THMX
Thomas Cook India Ltd, THOM
Titan Company Ltd, TITN
Tamil Nadu Newsprint And Papers Ltd, TNNP
Torrent Pharmaceuticals Ltd, TORP
Torrent Power Ltd, TOPO
Trent Ltd, TREN
Cholamandalam Financial Holdings Ltd, CHOL
TV18 Broadcast Ltd, TVEB
TVS Motor Company Ltd, TVSM
UCO Bank, UCBK
Uflex Ltd, UFLX
UltraTech Cement Ltd, ULTC
Unichem Laboratories Ltd, UNLB
Union Bank of India Ltd, UNBK
Unitech Ltd, UNTE
United Breweries Ltd, UBBW
UPL Ltd, UPLL
United Spirits Ltd, UNSP
Usha Martin Ltd, USBL
Uttam Galva Steels Ltd, UTTM
Videocon Industries Ltd, VEDI
VIP Industries Ltd, VIPI
Voltas Ltd, VOLT
VST Industries Ltd, VSTI
Welspun Corp Ltd, WGSR
Whirlpool of India Ltd, WHIR
Wipro Ltd, WIPR
Wockhardt Ltd, WCKH
Yes Bank Ltd, YESB
Zee Entertainment Enterprises Ltd, ZEE
Zydus Wellness Ltd, ZYDS
Den Networks Ltd, DENN
DBCorp Ltd, DBCL
Prime Focus Ltd, PRFO
Nestle India Ltd, NEST
Schneider Electric Infrastructure Ltd, SEIN
Standard Chartered PLC DRC, STNCy
Abbott India Ltd, ABOT
International Paper APPM Ltd, IPAP
Ge T&D India Ltd, GETD
Arshiya Ltd, ARSH
A2z Infra Engineering Ltd BO, A2ZI
Bajaj Corp Ltd, BACO
Bayer Cropscience Ltd, BAYE
Bharti Infratel Ltd, BHRI
Balkrishna Industries Ltd, BLKI
Bank of Maharashtra Ltd, BMBK
Credit Analysis And Research Ltd, CREI
Elecon Engineering CoLtd, ELCN
Eros International Media Ltd, EROS
ESS DEE Aluminum Ltd, ESDA
GOCL Corp Ltd, GOCL
Gravita India Ltd, GRAI
GRUH Finance Ltd, GRUH
Hindustan Copper Ltd, HCPR
HMT Ltd, HMTL
ICRA Ltd, ICRA
IL&FS Transportation Networks Ltd, ILFT
Indiabulls Real Estate Ltd, INRL
JBF Industries Ltd, JBFI
Jindal Saw Ltd, JIND
JK Cement Ltd, JKCE
JK Lakshmi Cement Ltd, JKLC
Jyothy Laboratories Ltd, JYOI
Kirloskar Oil Engines Ltd, KIRO
Kaveri Seed Company Ltd, KVRI
Lovable Lingerie Ltd, LOVA
L&T Finance Holdings Ltd, LTFH
Magma Fincorp Ltd, MAGM
Mahindra Holidays and Resorts India Ltd, MAHH
Mandhana Industries Ltd, MAND
Multi Commodity Exchange of India Ltd, MCEI
MMTC Ltd, MMTC
Manappuram Finance Ltd, MNFL
MOIL Ltd, MOIL
Muthoot Finance Ltd, MUTT
Natco Pharma Ltd, NATP
Nitin Fire Protection Industries Ltd, NIFP
NIIT Technologies Ltd, NITT
Nesco Ltd, NSEN
OnMobile Global Ltd, ONMO
PC Jeweller Ltd, PCJE
Polyplex Corporation Ltd, PLYP
Prakash Industries Ltd, PRKI
Punjab & Sind Bank, PUNA
Rain Industries Ltd, RAID
SE Investments Ltd, PISA
Shriram-City Union Finance Ltd, SHCU
Siti Networks Ltd, SITI
SJVN Ltd, SJVN
Solar Industries India Ltd, SLIN
Sun Pharma Advanced Research Company Ltd, SPRC
Swan Energy Ltd, SWAN
Techno Electric & Engineering Company Ltd, TEEC
Texmaco Rail & Engineering Ltd, TEXA
Tree House Education and Accessories Ltd, THEA
Time Technoplast Ltd, TIME
Timken India Ltd, TIMK
Titagarh Wagons Ltd, TITW
Triveni Turbine Ltd, TRVT
TTK Prestige Ltd, TTKL
Tata Teleservices (Maharashtra) Ltd, TTML
United Bank of India, UBOI
Vakrangee Softwares Ltd, VAKR
Vardhman Textiles Ltd, VART
Va Tech Wabag Ltd, VATE
V Guard Industries Ltd, VGUA
WABCO India Ltd, WABC
Zylog Systems Ltd, ZYSY
Bilcare Ltd, BIL
Blue Circle Services Ltd, BLUE
CCL International Ltd, CCLI
Indian Infotech Software Ltd, IISL
KGN Enterprises Ltd, KGNE
Novartis India Ltd, NOIN
PI Industries Ltd, PIIL
Shree Global Tradefin Ltd, SHGT
Spicejet Ltd, SPJT
Symphony Ltd, SYMP
Tuni Textile Mills Ltd, TUTX
Vikas Wsp Ltd, VWSP
Brightcom Group Ltd, BRIH
Abbott India Ltd, ABOT
International Paper APPM Ltd, IPAP
Ge T&D India Ltd, GETD
Arshiya Ltd, ARSH
A2z Infra Engineering Ltd, A2ZI
Bajaj Corp Ltd, BACO
Bayer Cropscience Ltd, BAYE
Bharti Infratel Ltd, BHRI
Balkrishna Industries Ltd, BLKI
Bank of Maharashtra Ltd, BMBK
CARE Ratings Ltd, CREI
Elecon Engineering CoLtd, ELCN
Eros International Media Ltd, EROS
ESS DEE Aluminum Ltd, ESDA
GOCL Corp Ltd, GOCL
Gravita India Ltd, GRAI
GRUH Finance Ltd, GRUH
Hindustan Copper Ltd, HCPR
HMT Ltd, HMTL
ICRA Ltd, ICRA
IL&FS Transportation Networks Ltd, ILFT
Indiabulls Real Estate Ltd, INRL
JBF Industries Ltd, JBFI
Jindal Saw Ltd, JIND
JK Cement Ltd, JKCE
JK Lakshmi Cement Ltd, JKLC
Jyothy Laboratories Ltd, JYOI
Kirloskar Oil Engines Ltd, KIRO
Kaveri Seed Company Ltd, KVRI
Lovable Lingerie Ltd, LOVA
L&T Finance Holdings Ltd, LTFH
Magma Fincorp Ltd, MAGM
Mahindra Holidays and Resorts India Ltd, MAHH
GB Global Ltd, GBGL
Multi Commodity Exchange of India Ltd, MCEI
MMTC Ltd, MMTC
Manappuram Finance Ltd, MNFL
MOIL Ltd, MOIL
Muthoot Finance Ltd, MUTT
Natco Pharma Ltd, NATP
Nitin Fire Protection Industries Ltd, NIFP
NIIT Technologies Ltd, NITT
Nesco Ltd, NSEN
OnMobile Global Ltd, ONMO
PC Jeweller Ltd, PCJE
Polyplex Corporation Ltd, PLYP
Prakash Industries Ltd, PRKI
Punjab & Sind Bank, PUNA
Rain Industries Ltd, RAID
State Bank of Mysore, SBKM
SE Investments Ltd, PISA
Shriram-City Union Finance Ltd, SHCU
Siti Networks Ltd, SITI
SJVN Ltd, SJVN
Solar Industries India Ltd, SLIN
Sun Pharma Advanced Research Company Ltd, SPRC
Swan Energy Ltd, SWAN
Techno Electric & Engineering Company Ltd, TEEC
Texmaco Rail & Engineering Ltd, TEXA
Tree House Education and Accessories Ltd, THEA
Time Technoplast Ltd, TIME
Timken India Ltd, TIMK
Titagarh Wagons Ltd, TITW
Triveni Turbine Ltd, TRVT
Tata Motors Ltd DVR, TAMdv
Indiabulls Housing Finance Ltd, INBF
Tata Motors DV Ltd, TAMdv
Interglobe Aviation Ltd, INGL
ICICI Prudential Life Insurance Company Ltd, ICIR
Avenue Supermarts Ltd, AVEU
ICICI Lombard General Insurance Company Ltd, ICIL
SBI Life Insurance Company Ltd, SBIL
General Insurance Corporation of India, GENA
New India Assurance Company Ltd, THEE
HDFC Life Insurance Company Ltd, HDFL
Bandhan Bank Ltd, BANH
HDFC Asset Management Company Ltd, HDFA
Vakrangee Softwares Ltd, VAKR
V Guard Industries Ltd, VGUA
PI Industries Ltd, PIIL
NBCC India Ltd, NBCC
Welspun India Ltd, WLSP
Aditya Birla Fashion and Retail Ltd, ADIA
Ajanta Pharma Ltd, AJPH
Syngene International Ltd, SYNN
IDFC Bank Ltd, IDFB
Alkem Laboratories Ltd, ALKE
Dr Lal PathLabs Ltd, DLPA
Crompton Greaves Consumer Electricals Ltd, CROP
Mahanagar Gas Ltd, MGAS
RBL Bank Ltd, RATB
Endurance Technologies Cn Ltd, ENDU
PNB Housing Finance Ltd, PNBH
Housing and Urban Development Corporation Ltd, HUDC
AU Small Finance Bank Ltd, AUFI
TTK Prestige Ltd, TTKL
Vardhman Textiles Ltd, VART
Va Tech Wabag Ltd, VATE
WABCO India Ltd, WABC
Just Dial Ltd, JUST
Bombay Burmah Trading Corporation Ltd, BBRM
Trident Ltd, TRIE
Heritage Foods Ltd, HEFI
PVR Ltd, PVRL
Kolte Patil Developers Ltd, KOLT
Maharashtra Scooters Ltd, MHSC
Vaibhav Global Ltd, VAIB
Intellect Design Arena Ltd, INEE
Indiabulls Integrated Services Ltd, IIAB
Sudarshan Chemical Industries Ltd, SDCH
Caplin Point Laboratories Ltd, CAPL
Future Lifestyle Fashions Ltd, FLFL
Gulf Oil Lubricants India Ltd, GOLU
Himadri Speciality Chemical Ltd, HIMD
Navin Fluorine International Ltd, NAFL
Johnson Controls-Hitachi Air Conditioning India Ltd, JCHA
Ratnamani Metals Tubes Ltd, RMT
Alembic Pharmaceuticals Ltd, ALEM
Mahindra CIE Automotive Ltd, MAHN
ITD Cementation India Ltd, ITCM
Jamna Auto Industries Ltd, JMNA
Phillips Carbon Black Ltd, PHIL
Capri Global Capital Ltd, CAPG
Suprajit Engineering Ltd, SUPE
Astral Poly Technik Ltd, ASPT
Hatsun Agro Product Ltd, HAPL
Orient Refractories Ltd, ORRE
Suven Life Sciences Ltd, SUVP
CCL Products India Ltd, CCLP
Garware Wall Ropes Ltd, GRWL
Repco Home Finance Ltd, RHFL
Cera Sanitaryware Ltd, CERA
KNR Constructions Ltd, KNRL
APL Apollo Tubes Ltd, APLA
Bliss GVS Pharma Ltd, BLIS
Gayatri Projects Ltd, GAPR
Grindwell Norton Ltd, GRNN
Minda Industries Ltd, MNDA
Relaxo Footwears Ltd, RLXO
Sundaram Clayton Ltd, SUND
Aegis Logistics Ltd, AEGS
Ashoka Buildcon Ltd, ABDL
Shilpa Medicare Ltd, SHME
Vinati Organics Ltd, VNTI
Deepak Nitrite Ltd, DPNT
Granules India Ltd, GRAN
IFB Industries Ltd, IFBI
KEI Industries Ltd, KEIN
Take Solutions Ltd, TAKE
Orient Cement Ltd, ORCE
V Mart Retail Ltd, VMAR
Dalmia Bharat Ltd B, DALB
JK Paper Ltd, JKPA
KPR Mill Ltd, KPRM
Symphony Ltd, SYMP
Minda Corporation Ltd, MINC
CEAT Ltd, CEAT
KRBL Ltd, KRBL
ITI Ltd, ITEL
Avanti Feeds Ltd, AVNT
India Tourism Development Corp Ltd, ITDC
VRL Logistics Ltd, VRLL
PNC Infratech Ltd, PNCI
Adani Transmission Ltd, ADAI
Coffee Day Enterprises Ltd, CODE
S H Kelkar And Company Ltd, SHKE
Lux Industries Ltd, LUXI
Narayana Hrudayalaya Ltd, NARY
Teamlease Services Ltd, TLSV
Jindal Stainless Hisar Ltd, JINA
Infibeam Avenues Ltd, IFIB
Equitas Holdings Ltd, EQHL
Parag Milk Foods Ltd, PAMF
Thyrocare Technologies Ltd, THYO
Ujjivan Financial Services Ltd, UJVF
Max India Ltd, MAID
Quess Corp Ltd, QUEC
Larsen & Toubro Infotech Ltd, LRTI
Advanced Enzyme Technologies Ltd, ADEN
Dilip Buildcon Ltd, DIBL
Future Retail Ltd, FRTL
L&T Technology Services Ltd, LTEH
Varun Beverages Ltd, VARB
Laurus Labs Ltd, LAUL
Sheela Foam Ltd, SHEF
TCI Express Ltd, TCIE
BSE Ltd, BSEL
Central Depository Services India Ltd, CENA
Eris Lifesciences Ltd, ERIS
Security and Intelligence Services Ltd, SECR
Cochin Shipyard Ltd, COCH
Star Cement Ltd, STAT
Dixon Technologies India Pvt Ltd, DIXO
Godrej Agrovet Ltd, GODE
Dishman Carbogen Amcis Ltd, DSHM
MAS Financial Services Ltd, MASF
Indian Energy Exchange Ltd, IIAN
Reliance Nippon Life Asset Management Ltd, RELL
Mahindra Logistics Ltd, MALO
Tube Investments of India Ltd, TBEI
Amber Enterprises India Ltd, AMBE
Galaxy Surfactants Limited, GALX
Aster DM Healthcare Ltd, ATRD
Hindustan Aeronautics Ltd, HIAE
Bharat Dynamics Ltd, BARA
ICICI Securities Ltd, ICCI
Lemon Tree Hotels, LEMO
IndoStar Capital Finance Ltd, INAC
Orient Electric Ltd, ONTE
Varroc Engineering Ltd, VARE
Adani Green Energy Ltd, ADNA
RITES Ltd, RITS
Fine Organic Industries Ltd, FINO
TCNS Clothing Co Ltd, TCNS
CreditAccess Grameen Ltd, CRDE
Ircon International Ltd, IRCN
Aavas Financiers Ltd, AVAS
Adani Gas Ltd, ADAG
Chalet Hotels Ltd, CHAL
Arvind Fashions Ltd, ARVF
Rail Vikas Nigam Ltd, RAIV
Metropolis Healthcare Ltd, METP
Polycab India Ltd, POLC
KPIT Technologies Ltd, KPIE
Indo Count Industries Ltd, ICNT
Rupa Company Ltd, RUCL
Kwality Ltd, KDAI
Inox Wind Ltd, INWN
Manpasand Beverages Ltd, MANB
Navkar Corporation Ltd, NAVR
India Tourism Development Corp Ltd, ITDC
Ramkrishna Forgings Ltd, RKFO
Indoco Remedies Ltd, INRM
Sharda Cropchem Ltd, SHCR
Shankara Building Products Ltd, SHAB
Sintex Plastics Technology Ltd, SINT
Reliance Home Finance Ltd, RLIC
Accelya Solutions India Ltd, ACCY
Vidhi Dyestuffs Manufacturing Ltd, VIDH
NBCC India Ltd, NBCC
PVR Ltd, PVRL
Finolex Cables Ltd, FNXC
Just Dial Ltd BO, JUST
Tribhovandas Bhimji Zaveri Ltd, TBZL
Vaibhav Global Ltd-BO, VAIB
Westlife Development Ltd-BO, WEST
Zensar Technologies Ltd, ZENT
Ajanta Pharma Ltd-BO, AJPH
Alembic Pharmaceuticals Ltd-BO, ALEM
Astral Poly Technik Ltd-BO, ASPT
Atul Ltd-BO, ATLP
Bombay Burmah Trading Corporation Ltd, BBRM
CEAT Ltd-BO, CEAT
DCM Shriram Ltd-BO, DCMS
Firstsource Solutions Ltd-BO, FISO
Future Lifestyle Fashions Ltd, FLFL
Gati Ltd-BO, GATI
GIC Housing Finance Ltd-BO, GICH
Grindwell Norton Ltd-BO, GRNN
Gulf Oil Lubricants India Ltd, GOLU
Hawkins Cookers Ltd-BO, HWKN
Hinduja Global Solutions Ltd, HGSL
Johnson Controls-Hitachi Air Conditioning India Ltd, JCHA
Indiabulls Housing Finance Ltd, INBF
Indoco Remedies Ltd-BO, INRM
INOX Leisure Ltd-BO, INOL
JK Tyre & Industries Ltd-BO, JKIN
Kolte Patil Developers Ltd-BO, KOLT
Lakshmi Vilas Bank Ltd, LVLS
Mahindra CIE Automotive Ltd-BO, MAHN
Orient Cement Ltd-BO, ORCE
RattanIndia Power Ltd, RTNP
Repco Home Finance Ltd-BO, RHFL
Selan Exploration Technology Ltd, SELA
Sharda Cropchem Ltd-BO, SHCR
SOM Distilleries and Breweries Ltd, SDB
Sonata Software Ltd, SOFT
Tata Sponge Iron Ltd-BO, TTST
Minda Corp Ltd, MINC
Hikal Ltd-BO, HIKA
Granules India Ltd, GRAN
Ashoka Buildcon Ltd, ABDL
Fairchem Speciality Ltd, FAIC
Aarti Drugs Ltd, ADRG
Aegis Logistics Ltd, AEGS
Ashiana Housing Ltd, AHFN
Ajmera Realty and Infra India Ltd, AJME
Alkyl Amines Chemicals Ltd, ALKY
Apar Industries Ltd, APAR
Apcotex Industries Ltd, APCI
APL Apollo Tubes Ltd, APLA
Astra Micro Wave Products Ltd, ASTM
Automotive Axles Ltd, ATOA
Atul Auto Ltd, ATUL
Avanti Feeds Ltd, AVNT
AXISCADES Engineering Technologies Ltd, AXIT
BF Investment Ltd, BFIN
Bliss GVS Pharma Ltd, BLIS
Balaji Telefilms Ltd, BLTE
Banco Products India Ltd, BNCO
Bodal Chemicals Ltd, BODA
Borosil Glass Works Ltd, BORO
Brigade Enterprises Ltd, BRIG
Butterfly Gandhimathi Appliances Ltd, BUTT
Camlin Fine Sciences Ltd, CAMF
Capri Global Capital Ltd, CAPG
Caplin Point Laboratories Ltd, CAPL
CCL Products India Ltd, CCLP
Centrum Capital Ltd, CENC
Cera Sanitaryware Ltd, CERA
Cigniti Technologies Ltd, CIGN
Can Fin Homes Ltd, CNFH
Century Enka Ltd, CNTE
Century Plyboards (India) Ltd, CNTP
Datamatics Global Services Ltd, DATC
DCW Ltd, DCWL
Dhanuka Agritech Ltd, DHNP
D-Link India Ltd, DLIL
Deepak Nitrite Ltd, DPNT
Dredging Corporation of India Ltd, DRDG
Electrosteel Castings Ltd, ELST
Inox Wind Ltd BO, INWN
ITI Ltd, ITEL
Snowman Logistics Ltd, SNOW
3i Infotech Ltd, TIIN
Wonderla Holidays Ltd, WOHL
MEP Infrastructure Development Ltd, MPIN
UFO Moviez India Ltd, UFOM
VRL Logistics Ltd, VRLL
Action Construction Equipment Ltd, ACEL
HeidelbergCement India Ltd, HEID
Kitex Garments Ltd, KITE
KRBL Ltd, KRBL
Marksans Pharma Ltd, MARK
Mastek Ltd, MAST
Merck Ltd, PROR
Nectar Lifesciences Ltd, NECT
Nucleus Software Exports Ltd, NSEL
Panacea Biotec Ltd, PNCA
Shilpa Medicare Ltd, SHME
Sasken Communication Technologies Ltd, SKCT
Expleo Solutions Ltd, EXPL
Suven Life Sciences Ltd, SUVP
Vimta Labs Ltd, VIML
Vivimed Labs Ltd, VVMD
PNC Infratech Ltd, PNCI
Fineotex Chemical Ltd, FINE
Welspun Enterprises Ltd, WELS
Adani Transmission Ltd, ADAI
Syngene International Ltd, SYNN
Alankit Ltd, ALAK
Arvind Smartspaces Ltd, ARVD
ITD Cementation India Ltd, ITCM
Kaya Ltd, KAYA
Majesco Ltd, MAJC
Navkar Corporation Ltd, NAVR
Power Mech Projects Ltd, POMP
Prabhat Dairy Ltd, PRDA
Coffee Day Enterprises Ltd, CODE
IDFC Bank Ltd, IDFB
Satin Creditcare Network Ltd, SATR
Interglobe Aviation Ltd, INGL
S H Kelkar And Company Ltd, SHKE
J Kumar Infraprojects Ltd, JKIP
Jamna Auto Industries Ltd, JMNA
Alkem Laboratories Ltd, ALKE
Dr Lal PathLabs Ltd, DLPA
Setco Automotive Ltd, SETC
Vikas Ecotech Ltd, VIEC
Bhageria Industries Ltd, BHAE
Lux Industries Ltd, LUXI
Narayana Hrudayalaya Ltd, NARY
Jindal Stainless Hisar Ltd, JINA
Teamlease Services Ltd BO, TLSV
Mold Tek Packaging Ltd, MOLT
Quick Heal Technologies Ltd, QUIC
SeQuent Scientific Ltd, SEQU
Aditya Birla Fashion and Retail Ltd, ADIA
Kamdhenu Ltd, KAMI
Welspun India Ltd, WLSP
Infibeam Avenues Ltd, IFIB
Equitas Holdings Ltd, EQHL
Aditya Birla Money Ltd, ABML
Ador Welding Ltd, ADOR
Alphageo India Ltd, ALPI
Ambika Cotton Mills Ltd, AMBK
ADF Foods Ltd, AMRN
Asian Granito India Ltd, ASGI
Astec Lifesciences Ltd, ASTE
Balaji Amines Ltd, BAMN
Bharat Bijlee Ltd, BBJL
Bhansali Engineering Polymers Ltd, BHAN
B L Kashyap and Sons Ltd, BLKS
Birla Cable Ltd, BRLE
Cerebra Integrated Technologies Ltd, CEIT
Cantabil Retail India Ltd, CRIL
Cosmo Films Ltd, CSFL
Dhampur Sugar Mills Ltd, DAMS
Deep Industries Ltd, DEIN
Dalmia Bharat Sugar and Industries Ltd, DLMI
Dwarikesh Sugar Industries Ltd, DWAR
Everest Kanto Cylinder Ltd, EKCL
Electrotherm India Ltd, ELTH
Emami Infrastructure Ltd, EMMI
Eveready Industries India Ltd, ERDY
ESAB India Ltd, ESAB
Essel Propack Ltd, ESSL
Everest Industries Ltd, EVRI
Excel Industries Ltd, EXCI
Federal-Mogul Goetze India Ltd, FEDM
Fiem Industries Ltd, FIIN
Filatex India Ltd, FLTX
Future Enterprises Ltd R, FURdv
Gabriel India Ltd, GABR
Gujarat Ambuja Exports Ltd, GAME
Gayatri Projects Ltd, GAPR
Godawari Power and Ispat Ltd, GDPI
Genus Power Infrastructures Ltd, GEOE
Geojit Bnp Paribas Financial Services Ltd, GEOJ
GHCL Ltd, GHCH
Ganesh Housing Corp Ltd, GHFC
Gujarat Industries Power Company Ltd, GJIP
Globus Spirits Ltd, GLOS
G M Breweries Ltd, GMBR
Goa Carbon Ltd, GOAC
Olectra Greentech Ltd, OLEC
Gokaldas Exports Ltd, GOKL
Garware Wall Ropes Ltd, GRWL
Gufic Biosciences Ltd, GUFI
HBL Power Systems Ltd, HBLS
Heritage Foods Ltd, HEFI
Hester Biosciences Ltd, HEST
HIL Ltd, HLLT
Himadri Speciality Chemical Ltd, HIMD
Himatsingka Seide Ltd, HMSD
Honda Siel Power Products Ltd, HOND
Huhtamaki PPL Ltd, HUHT
Indo Count Industries Ltd, ICNT
IFB Industries Ltd, IFBI
Igarashi Motors India Ltd, IGAM
India Glycols Ltd, IGLY
I G Petrochemicals Ltd, IGPT
Indian Hume Pipe Company Ltd, IHME
Indian Metals and Ferro Alloys Ltd, IMFA
Indiabulls Ventures Ltd, INDB
Indiabulls Integrated Services Ltd, IIAB
Intellect Design Arena Ltd, INEE
IOL Chemicals and Pharmaceuticals Ltd, IOLC
Insecticides India Ltd, ISIL
Jayant Agro-Organics Ltd, JAAO
Jain Irrigation Systems Ltd, JAIRdv
JBM Auto Ltd, JBMA
Jindal Worldwide Ltd, JINW
JK Paper Ltd, JKPA
JMC Projects (India) Ltd, JMCP
Jay Bharat Maruti Ltd, JYBM
KEI Industries Ltd, KEIN
Kellton Tech Solutions Ltd, KELL
Kilitch Drugs India Ltd, KIDI
Kiri Industries Ltd, KIRI
Kalyani Steels Ltd, KLSL
KNR Constructions Ltd, KNRL
KPR Mill Ltd, KPRM
Kirloskar Brothers Ltd, KRBR
Kridhan Infra Ltd, KRID
KSB Ltd, KSBL
La Opala R G Ltd, LAOP
LG Balakrishnan & Bros Ltd, LGB
Liberty Shoes Ltd, LIBS
Lincoln Pharmaceuticals Ltd, LINP
LT Foods Ltd, LTOL
Lumax AutoTechnologies Ltd, LUAT
Lumax Industries Ltd, LUMA
Man Infraconstruction Ltd, MANI
Mayur Uniquoters Ltd, MAYU
Meghmani Organics Ltd, MEGH
Mangalam Cement Ltd, MGLC
Maharashtra Scooters Ltd, MHSC
Man Industries India Ltd, MIND
MIRC Electronics Ltd, MIRC
Mirza International Ltd, MIRZ
MM Forgings Ltd, MMFO
Minda Industries Ltd, MNDA
Munjal Showa Ltd, MNJL
Manali Petrochemicals Ltd, MNLI
Monte Carlo Fashions Ltd, MOCF
Morepen Laboratories Ltd, MORL
MT Educare Ltd, MTED
Munjal Auto Industries Ltd, MUAU
Mukand Ltd, MUKA
Muthoot Capital Services Ltd, MUTH
Navin Fluorine International Ltd, NAFL
Nath Bio-Genes India Ltd, NATB
NRB Bearings Ltd, NBEA
Ncl Industries Ltd, NCLI
Nitco Ltd, NCOT
Nelco Ltd, NELC
Neuland Laboratories Ltd, NEUL
Nila Infrastructures Ltd, NHI
Nitin Spinners Ltd, NISP
Nilkamal Ltd, NKML
Nelcast Ltd, NLCA
Nocil Ltd, NOCI
Oriental Carbon & Chemicals Ltd, ORCR
Orient Paper and Industries Ltd, ORPP
Orient Refractories Ltd, ORRE
Dalmia Bharat Ltd B, DALB
Panama Petrochem Ltd, PAPT
Punjab Chemicals and Crop Protection Ltd, PCHM
Pennar Industries Ltd, PENN
Phillips Carbon Black Ltd, PHIL
PNB Gilts Ltd, PNBG
PPAP Automotive Ltd, PPAP
Pricol Ltd, PRCO
Prozone Intu Properties Ltd, PROZ
PTC India Financial Services Ltd, PTCN
Rane Brake Linings Ltd, RABL
Ramco Industries Ltd, RAMC
Rane Madras Ltd, RAMD
Ramky Infrastructure Ltd, RAMK
Rane Holdings Ltd, RANE
Rico Auto Industries Ltd, RAUT
Ruchira Papers Ltd, RCHR
Ramkrishna Forgings Ltd, RKFO
Relaxo Footwears Ltd, RLXO
Ramco Systems Ltd, RMCS
Ratnamani Metals and Tubes Ltd, RMT
Royal Orchid Hotels Ltd, ROYL
Rpg Life Sciences Ltd, RPGL
RPP Infra Projects Ltd, RPPI
Responsive Industries Ltd, RSPO
RSWM Ltd, RSWM
Rupa and Company Ltd, RUCL
Rushil Decor Ltd, RUSH
Sarda Energy & Minerals Ltd, SAEM
Sakuma Exports Ltd, SAKE
Saregama India Ltd, SARE
Sudarshan Chemical Industries Ltd, SDCH
Seamec Ltd, SEAM
Sunflag Iron and Steel Co Ltd, SFLG
Shivam Autotech Ltd, SHAU
Shemaroo Entertainment Ltd, SHEM
Shalimar Paints Ltd, SHLP
Shakti Pumps India Ltd, SHPU
Siyaram Silk Mills Ltd, SIYR
Skipper Ltd, SKIP
SML Isuzu Ltd, SMLI
Sanghi Industries Ltd, SNGI
Sanghvi Movers Ltd, SNGM
Sanwaria Agro Oils Ltd, SNWR
Somany Ceramics Ltd, SOCE
JTEKT India Ltd, JTEK
Shree Pushkar Chemicals & Fertilisers Ltd, SPCH
Speciality Restaurants Ltd, SPRE
Supreme Petrochem Ltd, SPTL
Srikalahasthi Pipes Ltd, SRIK
Seshasayee Paper and Boards Ltd, SSHA
Soril Infra Resources Ltd, SORI
Sterling Tools Ltd, STTL
Steel Strips Wheels Ltd, STWH
Subros Ltd, SUBR
Subex Ltd, SUBX
Suprajit Engineering Ltd, SUPE
Surya Roshni Ltd, SURR
Swaraj Engines Ltd, SWAR
TAJ GVK Hotels and Resorts Ltd, TAJG
Take Solutions Ltd, TAKE
Transport Corporation of India Ltd, TCIL
TD Power Systems Ltd, TDPS
Technocraft Industries India Ltd, TEIN
Tourism Finance Corporation of India Ltd, TFCI
Thirumalai Chemicals Ltd, THRM
Tinplate Company of India Ltd, TINP
Tata Metaliks Ltd, TMET
Tanla Solutions Ltd, TNSL
Tamilnadu Petroproducts Ltd, TPL
Triveni Engineering and Industries Ltd, TREI
Trident Ltd, TRIE
Trigyn Technologies Ltd, TRIG
TVS Electronics Ltd, TVEL
TVS Srichakra Ltd, TVSC
TV Today Network Ltd, TVTO
Uniply Industries Ltd, UNIN
Universal Cables Ltd, UNVR
Uttam Sugar Mills Ltd, UTSM
Vascon Engineers Ltd, VASC
Vadilal Industries Ltd, VDLI
Venky’s India Ltd, VENK
Vipul Ltd, VIPL
V-mart Retail Ltd, VMAR
Vindhya Telelinks Ltd, VNDY
Vinati Organics Ltd, VNTI
Voltamp Transformers Ltd, VOTL
V2 Retail Ltd, VREL
Visaka Industries Ltd, VSKI
VST Tillers Tractors Ltd, VST
Walchandnagar Industries Ltd, WALC
Weizmann Forex Ltd, WEIM
Windsor Machines Ltd, WIND
West Coast Paper Mills Ltd, WSTC
Zee Learn Ltd, ZEEE
Zee Media Corporation Ltd, ZEEN
Zen Technologies Ltd, ZETE
Zuari Agro Chemicals Ltd, ZUAR
Zuari Global Ltd, ZURI
Crompton Greaves Consumer Electricals Ltd, CROP
